iter	Passed	Remaining
0	57	57808
1	58	28999
2	58	19394
3	58	14590
4	58	11704
5	59	9780
6	59	8406
7	59	7377
8	59	6582
9	60	5943
10	60	5419
11	60	4981
12	60	4610
13	60	4293
14	61	4019
15	61	3779
16	61	3567
17	61	3378
18	62	3208
19	62	3055
20	62	2917
21	62	2791
22	63	2676
23	63	2571
24	63	2474
25	63	2387
26	63	2305
27	64	2227
28	64	2155
29	64	2089
30	64	2026
31	65	1968
32	65	1912
33	65	1859
34	65	1811
35	65	1765
36	66	1721
37	66	1680
38	66	1640
39	66	1603
40	67	1567
41	67	1533
42	67	1500
43	67	1469
44	67	1439
45	68	1411
46	68	1384
47	68	1358
48	68	1333
49	68	1309
50	69	1285
51	69	1263
52	69	1241
53	69	1221
54	69	1201
55	70	1182
56	70	1163
57	70	1146
58	70	1128
59	70	1111
60	71	1095
61	71	1080
62	71	1065
63	71	1050
64	72	1037
65	72	1023
66	72	1009
67	72	996
68	72	983
69	73	971
70	73	959
71	73	947
72	73	935
73	73	924
74	74	913
75	74	903
76	74	892
77	74	882
78	74	873
79	75	863
80	75	854
81	75	845
82	75	835
83	75	826
84	75	817
85	76	809
86	76	801
87	76	793
88	76	785
89	76	778
90	77	770
91	77	763
92	77	756
93	77	749
94	77	742
95	78	736
96	78	729
97	78	723
98	78	716
99	78	710
100	79	705
101	79	699
102	79	693
103	79	688
104	80	682
105	80	676
106	80	671
107	80	666
108	80	660
109	81	655
110	81	650
111	81	645
112	81	640
113	81	635
114	81	630
115	82	626
116	82	621
117	82	616
118	82	612
119	82	607
120	83	603
121	83	598
122	83	594
123	83	590
124	83	586
125	84	582
126	84	578
127	84	574
128	84	570
129	84	567
130	84	563
131	85	559
132	85	556
133	85	552
134	85	549
135	85	545
136	86	542
137	86	538
138	86	535
139	86	532
140	86	529
141	86	525
142	87	522
143	87	519
144	87	516
145	87	513
146	88	510
147	88	507
148	88	505
149	88	502
150	88	499
151	89	496
152	89	493
153	89	491
154	89	488
155	89	485
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	469
162	91	467
163	91	464
164	91	462
165	91	460
166	91	457
167	91	455
168	92	453
169	92	450
170	92	448
171	92	446
172	92	444
173	93	442
174	93	439
175	93	437
176	93	435
177	93	433
178	94	431
179	94	429
180	94	427
181	94	425
182	94	423
183	95	421
184	95	420
185	95	418
186	95	416
187	96	415
188	96	413
189	96	411
190	96	409
191	96	407
192	97	405
193	97	404
194	97	402
195	97	400
196	97	398
197	98	397
198	98	395
199	98	393
200	98	392
201	98	390
202	99	388
203	99	387
204	99	385
205	99	383
206	99	382
207	100	380
208	100	379
209	100	377
210	100	376
211	100	374
212	101	373
213	101	371
214	101	370
215	101	368
216	101	367
217	101	365
218	102	364
219	102	362
220	102	361
221	102	360
222	102	358
223	103	357
224	103	356
225	103	354
226	103	353
227	104	352
228	104	350
229	104	349
230	104	348
231	104	346
232	104	345
233	105	344
234	105	343
235	105	341
236	105	340
237	106	339
238	106	338
239	106	337
240	106	336
241	107	335
242	107	334
243	107	333
244	107	331
245	107	330
246	108	329
247	108	328
248	108	327
249	108	325
250	108	324
251	109	323
252	109	322
253	109	321
254	109	320
255	109	319
256	110	318
257	110	316
258	110	315
259	110	314
260	110	313
261	110	312
262	111	311
263	111	310
264	111	309
265	111	308
266	111	307
267	112	306
268	112	305
269	112	304
270	112	303
271	112	302
272	113	301
273	113	300
274	113	299
275	113	298
276	113	297
277	114	296
278	114	295
279	114	294
280	114	293
281	114	292
282	115	291
283	115	290
284	115	289
285	115	288
286	115	287
287	116	287
288	116	286
289	116	285
290	116	284
291	116	283
292	117	282
293	117	281
294	117	280
295	117	279
296	117	279
297	118	278
298	118	277
299	118	276
300	118	275
301	118	274
302	119	273
303	119	272
304	119	272
305	119	271
306	119	270
307	120	269
308	120	268
309	120	267
310	120	267
311	120	266
312	121	265
313	121	265
314	121	264
315	121	263
316	121	262
317	122	261
318	122	261
319	122	260
320	122	259
321	122	258
322	123	258
323	123	257
324	123	256
325	123	255
326	123	255
327	124	254
328	124	253
329	124	252
330	124	252
331	124	251
332	125	250
333	125	250
334	125	249
335	126	249
336	126	248
337	126	247
338	126	247
339	127	246
340	127	246
341	127	245
342	128	245
343	128	244
344	128	244
345	128	243
346	129	242
347	129	242
348	129	241
349	129	240
350	129	240
351	130	239
352	130	239
353	130	238
354	131	238
355	131	237
356	131	237
357	132	236
358	132	236
359	132	235
360	132	235
361	133	234
362	133	234
363	133	233
364	134	233
365	134	232
366	134	232
367	135	231
368	135	231
369	135	230
370	135	230
371	135	229
372	136	229
373	136	228
374	136	227
375	136	227
376	137	226
377	137	226
378	137	225
379	138	225
380	138	224
381	138	224
382	139	224
383	139	223
384	139	222
385	139	222
386	140	221
387	140	221
388	140	220
389	140	220
390	141	219
391	141	219
392	141	218
393	142	218
394	142	217
395	142	217
396	142	217
397	143	216
398	143	216
399	143	215
400	144	215
401	144	214
402	144	214
403	144	213
404	145	213
405	145	212
406	145	212
407	145	211
408	146	211
409	146	210
410	146	209
411	146	209
412	146	208
413	147	208
414	147	207
415	147	207
416	147	206
417	147	206
418	148	205
419	148	204
420	148	204
421	148	203
422	148	203
423	149	202
424	149	202
425	149	201
426	149	200
427	149	200
428	150	199
429	150	199
430	150	198
431	150	198
432	151	197
433	151	197
434	151	197
435	151	196
436	152	196
437	152	195
438	152	194
439	152	194
440	153	193
441	153	193
442	153	192
443	153	192
444	153	191
445	154	191
446	154	190
447	154	190
448	154	189
449	154	189
450	155	188
451	155	188
452	155	187
453	155	187
454	155	186
455	156	186
456	156	185
457	156	185
458	156	184
459	156	184
460	157	183
461	157	183
462	157	182
463	157	182
464	157	181
465	158	181
466	158	180
467	158	180
468	158	179
469	158	179
470	159	178
471	159	178
472	159	177
473	159	177
474	159	176
475	160	176
476	160	175
477	160	175
478	160	174
479	160	174
480	161	173
481	161	173
482	161	172
483	161	172
484	161	171
485	162	171
486	162	170
487	162	170
488	162	169
489	162	169
490	163	169
491	163	168
492	163	168
493	163	167
494	163	167
495	164	166
496	164	166
497	164	165
498	164	165
499	164	164
500	165	164
501	165	163
502	165	163
503	165	163
504	165	162
505	166	162
506	166	161
507	166	161
508	166	160
509	166	160
510	167	159
511	167	159
512	167	158
513	167	158
514	167	158
515	168	157
516	168	157
517	168	156
518	168	156
519	168	155
520	169	155
521	169	154
522	169	154
523	169	154
524	169	153
525	170	153
526	170	152
527	170	152
528	170	151
529	170	151
530	171	151
531	171	150
532	171	150
533	171	149
534	171	149
535	172	149
536	172	148
537	172	148
538	172	147
539	172	147
540	173	146
541	173	146
542	173	146
543	173	145
544	173	145
545	174	144
546	174	144
547	174	143
548	174	143
549	174	143
550	175	142
551	175	142
552	175	141
553	175	141
554	175	141
555	176	140
556	176	140
557	176	139
558	176	139
559	176	139
560	177	138
561	177	138
562	177	137
563	177	137
564	177	137
565	178	136
566	178	136
567	178	135
568	178	135
569	178	135
570	179	134
571	179	134
572	179	133
573	179	133
574	180	133
575	180	132
576	180	132
577	180	131
578	180	131
579	181	131
580	181	130
581	181	130
582	181	129
583	181	129
584	182	129
585	182	128
586	182	128
587	182	127
588	182	127
589	182	127
590	183	126
591	183	126
592	183	125
593	183	125
594	183	125
595	184	124
596	184	124
597	184	124
598	184	123
599	184	123
600	185	122
601	185	122
602	185	122
603	185	121
604	185	121
605	186	120
606	186	120
607	186	120
608	186	119
609	186	119
610	187	119
611	187	118
612	187	118
613	187	117
614	187	117
615	188	117
616	188	116
617	188	116
618	189	116
619	189	116
620	189	115
621	189	115
622	190	115
623	190	114
624	190	114
625	190	113
626	190	113
627	191	113
628	191	112
629	191	112
630	191	112
631	192	111
632	192	111
633	192	111
634	192	110
635	192	110
636	192	109
637	193	109
638	193	109
639	193	108
640	193	108
641	193	108
642	194	107
643	194	107
644	194	107
645	194	106
646	194	106
647	195	105
648	195	105
649	195	105
650	195	104
651	195	104
652	196	104
653	196	103
654	196	103
655	196	103
656	196	102
657	197	102
658	197	102
659	197	101
660	197	101
661	197	101
662	198	100
663	198	100
664	198	99
665	198	99
666	198	99
667	199	98
668	199	98
669	199	98
670	199	97
671	199	97
672	200	97
673	200	96
674	200	96
675	200	96
676	200	95
677	201	95
678	201	95
679	201	94
680	201	94
681	202	94
682	202	93
683	202	93
684	202	93
685	202	92
686	203	92
687	203	92
688	203	91
689	203	91
690	204	91
691	204	90
692	204	90
693	204	90
694	204	89
695	205	89
696	205	89
697	206	89
698	206	88
699	206	88
700	206	88
701	207	87
702	207	87
703	207	87
704	207	86
705	207	86
706	207	86
707	208	85
708	208	85
709	208	85
710	208	84
711	208	84
712	209	84
713	209	83
714	209	83
715	209	83
716	209	82
717	210	82
718	210	82
719	210	81
720	210	81
721	210	81
722	211	80
723	211	80
724	211	80
725	211	79
726	211	79
727	212	79
728	212	78
729	212	78
730	212	78
731	212	77
732	212	77
733	213	77
734	213	76
735	213	76
736	213	76
737	213	75
738	214	75
739	214	75
740	214	74
741	214	74
742	214	74
743	215	74
744	215	73
745	215	73
746	215	73
747	215	72
748	216	72
749	216	72
750	216	71
751	216	71
752	216	71
753	217	70
754	217	70
755	217	70
756	217	69
757	217	69
758	218	69
759	218	68
760	218	68
761	218	68
762	218	68
763	219	67
764	219	67
765	219	67
766	219	66
767	219	66
768	220	66
769	220	65
770	220	65
771	220	65
